president,month,mean_pop
chirac2,2002-06-01,0.5117807447422673
chirac2,2002-07-01,0.516257373633684
chirac2,2002-08-01,0.5284957135625872
chirac2,2002-09-01,0.5206521890526489
chirac2,2002-10-01,0.5182965529999544
chirac2,2002-11-01,0.5267432570585048
chirac2,2002-12-01,0.546999225806375
chirac2,2003-01-01,0.568894617451335
chirac2,2003-02-01,0.5712520603063772
chirac2,2003-03-01,0.5846972626661531
chirac2,2003-04-01,0.633129756345305
chirac2,2003-05-01,0.6176882932024605
chirac2,2003-06-01,0.5944179548236486
chirac2,2003-07-01,0.5592821109471212
chirac2,2003-08-01,0.5381982767460852
chirac2,2003-09-01,0.5222320142849587
chirac2,2003-10-01,0.4946268885918213
chirac2,2003-11-01,0.4754448444158846
chirac2,2003-12-01,0.474344878414141
chirac2,2004-01-01,0.4853712935322447
chirac2,2004-02-01,0.4921332016437469
chirac2,2004-03-01,0.45303158694687695
chirac2,2004-04-01,0.4434063795033996
chirac2,2004-05-01,0.41284733608377516
chirac2,2004-06-01,0.42821518441454526
chirac2,2004-07-01,0.4404173304230634
chirac2,2004-08-01,0.4478769222954008
chirac2,2004-09-01,0.45429284080900395
chirac2,2004-10-01,0.45897835866618425
chirac2,2004-11-01,0.4569433530460582
chirac2,2004-12-01,0.4665289651215701
chirac2,2005-01-01,0.4841620103705718
chirac2,2005-02-01,0.4850837195165078
chirac2,2005-03-01,0.4457845322663189
chirac2,2005-04-01,0.43879174128889814
chirac2,2005-05-01,0.41227914393847065
chirac2,2005-06-01,0.363259562316036
chirac2,2005-07-01,0.29898946529524356
chirac2,2005-08-01,0.31936108358536996
chirac2,2005-09-01,0.34180178664202127
chirac2,2005-10-01,0.3498430445073269
chirac2,2005-11-01,0.3291878400716692
chirac2,2005-12-01,0.34899043693570025
chirac2,2006-01-01,0.3256082728758656
chirac2,2006-02-01,0.33138913413850224
chirac2,2006-03-01,0.3352308260079911
chirac2,2006-04-01,0.3177944300577834
chirac2,2006-05-01,0.2806426532826081
chirac2,2006-06-01,0.2786125357502556
chirac2,2006-07-01,0.27943716103848937
chirac2,2006-08-01,0.32191435845313326
chirac2,2006-09-01,0.3374086870860252
chirac2,2006-10-01,0.3414697489093175
chirac2,2006-11-01,0.35046511149825904
chirac2,2006-12-01,0.36379149828091856
chirac2,2007-01-01,0.36588890102756744
chirac2,2007-02-01,0.3682987538807512
chirac2,2007-03-01,0.3890217344815683
chirac2,2007-04-01,0.4272890387542897
chirac2,2007-05-01,0.43329854455159506
sarkozy,2007-06-01,0.6261800874111157
sarkozy,2007-07-01,0.6455654961994453
sarkozy,2007-08-01,0.6473020073622642
sarkozy,2007-09-01,0.6294458731675415
sarkozy,2007-10-01,0.5916341954765229
sarkozy,2007-11-01,0.5630770321384034
sarkozy,2007-12-01,0.5353824423084199
sarkozy,2008-01-01,0.5066570389202087
sarkozy,2008-02-01,0.4499644152160979
sarkozy,2008-03-01,0.38538133107113154
sarkozy,2008-04-01,0.3812112132918913
sarkozy,2008-05-01,0.35528563147391745
sarkozy,2008-06-01,0.36210165776122744
sarkozy,2008-07-01,0.356606257516308
sarkozy,2008-08-01,0.3597267390300776
sarkozy,2008-09-01,0.3927848413070525
sarkozy,2008-10-01,0.39823827616735724
sarkozy,2008-11-01,0.4092788281696899
sarkozy,2008-12-01,0.4273969584620278
sarkozy,2009-01-01,0.4312357094146862
sarkozy,2009-02-01,0.42373235167437673
sarkozy,2009-03-01,0.38398600677371625
sarkozy,2009-04-01,0.38316759042082227
sarkozy,2009-05-01,0.38489537802878193
sarkozy,2009-06-01,0.40720931001896815
sarkozy,2009-07-01,0.4230696974675379
sarkozy,2009-08-01,0.4216990981687475
sarkozy,2009-09-01,0.42855148238501983
sarkozy,2009-10-01,0.41698737290000826
sarkozy,2009-11-01,0.3950640999813756
sarkozy,2009-12-01,0.37230125447654777
sarkozy,2010-01-01,0.36777339662270214
sarkozy,2010-02-01,0.37565282765481184
sarkozy,2010-03-01,0.3466454368941799
sarkozy,2010-04-01,0.3367495641716465
sarkozy,2010-05-01,0.32864775556517495
sarkozy,2010-06-01,0.32572512418506894
sarkozy,2010-07-01,0.31003581852148665
sarkozy,2010-08-01,0.3202019195680887
sarkozy,2010-09-01,0.3277385017452021
sarkozy,2010-10-01,0.3042905697443396
sarkozy,2010-11-01,0.2868626365964691
sarkozy,2010-12-01,0.30900879297045647
sarkozy,2011-01-01,0.30202973176341086
sarkozy,2011-02-01,0.2966535157606168
sarkozy,2011-03-01,0.2908822508507655
sarkozy,2011-04-01,0.2826032152242318
sarkozy,2011-05-01,0.26934921950217
sarkozy,2011-06-01,0.287950872370626
sarkozy,2011-07-01,0.29658212722139593
sarkozy,2011-08-01,0.32323208152127714
sarkozy,2011-09-01,0.3141600993937591
sarkozy,2011-10-01,0.30622639369747845
sarkozy,2011-11-01,0.3145650249593133
sarkozy,2011-12-01,0.33185565397941325
sarkozy,2012-01-01,0.3310993994252139
sarkozy,2012-02-01,0.31665917761321566
sarkozy,2012-03-01,0.31663656599855583
sarkozy,2012-04-01,0.34873182088147514
sarkozy,2012-05-01,0.3669878450550762
hollande,2012-06-01,0.5635397320478299
hollande,2012-07-01,0.5611987442453287
hollande,2012-08-01,0.5291870593928225
hollande,2012-09-01,0.4849141657778845
hollande,2012-10-01,0.43418884648194517
hollande,2012-11-01,0.40612513927421257
hollande,2012-12-01,0.39376657168558243
hollande,2013-01-01,0.37689026620390825
hollande,2013-02-01,0.3698379867698487
hollande,2013-03-01,0.3418908991393233
